ram_available_bytes,disk_free_gb,batch_size,buffer_size,cpu_cores,cpu_threads,cpu_frequency_khz,ram_total_bytes,gpu_count,gpu_0_name,total_duration
65.51642200865983,0.4686998394863528,11.11111111111111,100.0,0.0,0.0,0.0,0.0,0.0,0.0,593.0
65.21015946773683,0.4430176565008048,11.11111111111111,100.0,0.0,0.0,0.0,0.0,0.0,0.0,599.0
63.00999753581862,0.5008025682182948,11.11111111111111,100.0,0.0,0.0,0.0,0.0,0.0,0.0,593.0
65.01566515295525,0.455858747993576,11.11111111111111,100.0,0.0,0.0,0.0,0.0,0.0,0.0,596.0
67.14894216214313,0.4494382022471876,11.11111111111111,100.0,0.0,0.0,0.0,0.0,0.0,0.0,592.0
67.98676382581755,0.3852327447833037,11.11111111111111,100.0,0.0,0.0,0.0,0.0,0.0,0.0,599.0
43.180378075826376,0.3595505617977501,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1788.0
66.0198190586827,0.276083467094701,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1783.0
63.53363607561513,0.2182985553772054,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1799.0
67.68314147921286,0.243980738362759,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1743.0
66.15886929277993,0.211878009630817,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1805.0
67.71834407012354,0.1476725521669331,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1787.0
65.10367163023196,0.1091492776886027,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1810.0
65.88428908367656,0.0449438202247187,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1798.0
68.93723378040622,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1802.0
0.0,94.8956661316212,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0
41.36480444960746,93.70786516853931,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.0
43.14165522582458,90.4398073836276,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507.0
33.38525715492659,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,624.0
