model_type,model_name,num_features,features,RMSE,avg_loss,inference_time,score,estimators,max_depth,alpha,min_sample_split
ensemble,random_forest,2,cpu_cores+ disk_free_gb,148.58709716677959,22078.125444449997,8.180234757190453e-06,22178.29319943349,50.0,10.0,,5.0
ensemble,random_forest,2,cpu_cores+ disk_free_gb,140.81334754794193,19828.398847657485,7.888083515862221e-06,19935.343954438806,50.0,10.0,,10.0
ensemble,random_forest,2,cpu_cores+ disk_free_gb,162.0622568787861,26264.17510464565,9.365570850861379e-06,26344.684986982254,50.0,,,2.0
ensemble,random_forest,2,cpu_cores+ disk_free_gb,153.81675383977267,23659.593761805223,8.717883131925554e-06,23750.64091334698,50.0,,,5.0
ensemble,random_forest,2,cpu_cores+ disk_free_gb,148.9319514545278,22180.72616405382,8.150955282563944e-06,22281.230444166165,50.0,,,10.0
ensemble,random_forest,2,cpu_cores+ disk_free_gb,139.80895477547145,19546.54383540982,1.3235931293523585e-05,19602.54920989611,100.0,5.0,,2.0
ensemble,random_forest,2,cpu_cores+ disk_free_gb,140.3003378953105,19684.184813538293,1.3261027986060591e-05,19739.909563918252,100.0,5.0,,5.0
ensemble,random_forest,2,cpu_cores+ disk_free_gb,138.66524923094244,19228.051344279385,1.319989501706019e-05,19284.581471216643,100.0,5.0,,10.0
ensemble,random_forest,2,cpu_cores+ disk_free_gb,156.06347602310578,24355.808548414516,1.660339262804039e-05,24391.681394479205,100.0,10.0,,2.0
ensemble,random_forest,2,cpu_cores+ disk_free_gb,141.67178313459578,20070.894136535935,1.544025745469066e-05,20115.589001839257,100.0,10.0,,5.0
ensemble,random_forest,2,cpu_cores+ disk_free_gb,139.31008474177224,19407.299710759766,1.486785981336586e-05,19455.15158705368,100.0,10.0,,10.0
ensemble,random_forest,2,cpu_cores+ disk_free_gb,154.79192509609942,23960.54007495645,1.8279401236056637e-05,23991.28592198281,100.0,,,2.0
ensemble,random_forest,2,cpu_cores+ disk_free_gb,150.88504463124352,22766.29669337235,1.646278679933947e-05,22804.273453865393,100.0,,,5.0
ensemble,random_forest,2,cpu_cores+ disk_free_gb,147.2135401277741,21671.826396951757,1.5401968910948307e-05,21715.08133451478,100.0,,,10.0
ensemble,random_forest,2,cpu_cores+ disk_free_gb,147.49577220824588,21755.002819306756,2.444031750142333e-05,21774.163815223626,200.0,5.0,,2.0
ensemble,random_forest,2,cpu_cores+ disk_free_gb,136.5903320459034,18656.918808410144,2.4415542561354747e-05,18679.219406621356,200.0,5.0,,5.0
ensemble,random_forest,2,cpu_cores+ disk_free_gb,136.59922047124155,18659.34703335086,2.4346365780643767e-05,18681.761578372276,200.0,5.0,,10.0
