run_id,cpu_vendor,cpu_cores,cpu_threads,cpu_frequency_khz,cpu_architecture,ram_total_bytes,ram_available_bytes,ram_type,gpu_count,gpu_0_name,gpu_0_vendor,gpu_0_vram_gb,gpu_1_name,gpu_1_vendor,gpu_1_vram_gb,disk_total_gb,disk_free_gb,disk_filesystem,host_os_name,is_docker_used,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,shared_critic,learning_rate_schedule,beta_schedule,epsilon_schedule,checkpoint_interval,keep_checkpoints,even_checkpoints,normalize,hidden_units,num_layers,vis_encode_type,memory,goal_conditioning_type,deterministic,extrinsic_gamma,extrinsic_strength,init_path,threaded,max_steps,time_horizon,summary_freq,self_play,behavioral_cloning,time_start,time_end,total_steps,total_duration
3DBall_ppo_1767901791,Intel,10,16,2400000,x86,34048757760,18613112832,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,117.234,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767901796,1767902633.0,1266405,837.0
3DBall_ppo_1767902936,Intel,10,16,2400000,x86,34048757760,18575118336,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,117.235,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767902942,1767903775.0,1264740,833.0
3DBall_ppo_1767904078,Intel,10,16,2400000,x86,34048757760,18528362496,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,117.23,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767904084,1767904918.0,1265009,834.0
3DBall_ppo_1767905225,Intel,10,16,2400000,x86,34048757760,18458431488,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,116.972,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767905234,1767906066.0,1270816,832.0
3DBall_ppo_1767906369,Intel,10,16,2400000,x86,34048757760,18976464896,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,117.222,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767906375,1767907184.0,1266030,809.0
3DBall_ppo_1767914611,Intel,10,16,2400000,x86,34048757760,19737206784,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,117.04,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767914616,1767915184.0,1264551,568.0
3DBall_ppo_1767915487,Intel,10,16,2400000,x86,34048757760,19735240704,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,117.039,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767915492,1767916057.0,1264966,565.0
3DBall_ppo_1767916360,Intel,10,16,2400000,x86,34048757760,19627560960,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,117.037,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767916365,1767916931.0,1265462,566.0
3DBall_ppo_1767919676,Intel,10,16,2400000,x86,34048757760,19068321792,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,117.015,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767919681,1767920245.0,1266230,564.0
3DBall_ppo_1767920547,Intel,10,16,2400000,x86,34048757760,19305426944,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,117.011,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767920553,1767921111.0,1265443,558.0
